title,location,seniority_level,employment_type,industries,company_name,time_posted,num_applicants,inferred_skills,skills_combined
"Machine Learning Engineer 4, Firefly GenAI Services","Noida, Uttar Pradesh, India",Mid-Senior level,Full-time,Software Development,Adobe,2025-05-01,0,"['Machine Learning', 'Genai', 'Python', 'Deep Learning']",Machine Learning Genai Python Deep Learning
Senior Data Scientist,"Bangalore Urban, Karnataka, India",Mid-Senior level,Full-time,Financial Services,Rapido,2025-05-01,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
Gen AI Associate Director_ Bangalore,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Business Consulting and Services,Kpmg India,2025-05-01,0,"['Ai', 'Genai', 'Leadership', 'Machine Learning', 'Strategy']",Ai Genai Leadership Machine Learning Strategy
Machine Learning (Deep Learning & Generative AI) Engineer,"Hyderabad, Telangana, India",Not Applicable,Full-time,Telecommunications,Qualcomm,2025-05-01,0,"['Machine Learning', 'Deep Learning', 'Ai', 'Python', 'Tensorflow']",Machine Learning Deep Learning Ai Python Tensorflow
Sr. Data Scientist,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Retail,Lowe'S India,2025-05-01,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
"Research Scientist, Agents, Bangalore","Bengaluru, Karnataka, India",Associate,Full-time,Research Services,Google Deepmind,2025-05-02,0,"['Research', 'Ai', 'Data Science', 'Machine Learning', 'Python']",Research Ai Data Science Machine Learning Python
Sr Machine Learning Engineer,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Hospitals and Health Care,Iqvia,2025-05-02,0,"['Machine Learning', 'Deep Learning', 'Ai', 'Python', 'Tensorflow']",Machine Learning Deep Learning Ai Python Tensorflow
"Staff Data Scientist, Ads Insights and Measurement","Bengaluru, Karnataka, India",Not Applicable,Full-time,"Information Services and Technology, Information and Internet",Google,2025-05-01,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
Data Scientist,"Hyderabad, Telangana, India",Mid-Senior level,Full-time,Spectator Sports,Dazn,2025-05-02,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
Machine Learning Engineer,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,IT Services and IT Consulting,Concentrix Catalyst,2025-05-03,0,"['Machine Learning', 'Python', 'Deep Learning', 'Ai', 'Tensorflow']",Machine Learning Python Deep Learning Ai Tensorflow
AI/ML Engineer,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,IT Services and IT Consulting,Oracle,2025-05-02,0,"['Ai', 'Machine Learning', 'Python', 'Tensorflow', 'Deep Learning']",Ai Machine Learning Python Tensorflow Deep Learning
Data Scientist-Gen AI,"Bengaluru East, Karnataka, India",Entry level,Full-time,IT Services and IT Consulting,Infosys,2025-05-04,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
Data Scientist-Gen AI,"Bengaluru East, Karnataka, India",Entry level,Full-time,IT Services and IT Consulting,Infosys,2025-05-01,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
Machine Learning Engineer,"Hyderabad, Telangana, India",Mid-Senior level,Full-time,Software Development and IT Services and IT Consulting,Deccan Ai,2025-05-03,0,"['Machine Learning', 'Python', 'Deep Learning', 'Ai', 'Tensorflow']",Machine Learning Python Deep Learning Ai Tensorflow
Senior Director - AI / ML Engineer [T500-17200],"Hyderabad, Telangana, India",Director,Full-time,Restaurants,Mcdonald'S,2025-05-02,0,"['Ai', 'Machine Learning', 'Leadership', 'Strategy', 'Deep Learning']",Ai Machine Learning Leadership Strategy Deep Learning
Data Scientist,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Information Services,Wipro,2025-05-02,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
"Business Analyst, Alexa AI","Bengaluru, Karnataka, India",Not Applicable,Full-time,Software Development,Amazon,2025-05-02,0,"['Ai', 'Data Analysis', 'Business Intelligence', 'Reporting', 'Excel']",Ai Data Analysis Business Intelligence Reporting Excel
AI ML Engineer,"Ahmedabad, Gujarat, India",Mid-Senior level,Full-time,IT Services and IT Consulting,Oracle,2025-05-01,0,"['Ai', 'Machine Learning', 'Deep Learning', 'Python', 'Tensorflow']",Ai Machine Learning Deep Learning Python Tensorflow
Python AI/ML Developer,"Indore, Madhya Pradesh, India",Entry level,Full-time,Staffing and Recruiting,Emorphis Technologies,2025-05-02,0,"['Python', 'Ai', 'Machine Learning', 'Deep Learning', 'Tensorflow']",Python Ai Machine Learning Deep Learning Tensorflow
Data Scientist II,"Bengaluru, Karnataka, India",Not Applicable,Full-time,Software Development,Microsoft,2025-05-05,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
BI Developer 1,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,"Software Development, Computer Networking Products, and IT Services and IT Consulting",Confluent,2025-05-06,0,"['Power Bi', 'Sql', 'Data Analysis', 'Business Intelligence']",Power Bi Sql Data Analysis Business Intelligence
Power BI Developer - Assistant Manager,"Mumbai, Maharashtra, India",Mid-Senior level,Full-time,Business Consulting and Services,Kpmg India,2025-05-01,0,"['Power Bi', 'Sql', 'Data Visualization', 'Reporting', 'Business Intelligence']",Power Bi Sql Data Visualization Reporting Business Intelligence
Power BI Developer - Consultant,"Mumbai, Maharashtra, India",Mid-Senior level,Full-time,Business Consulting and Services,Kpmg India,2025-05-01,0,"['Power Bi', 'Sql', 'Data Visualization', 'Reporting', 'Consulting']",Power Bi Sql Data Visualization Reporting Consulting
Power BI Developer - Assistant Manager,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Business Consulting and Services,Kpmg India,2025-05-01,0,"['Power Bi', 'Sql', 'Data Visualization', 'Reporting', 'Business Intelligence']",Power Bi Sql Data Visualization Reporting Business Intelligence
